"gene","A9","A21","A33"
"Solyc08g076220",5,0,17
"Solyc08g076350",601,743,1293
"Solyc08g076690",227,309,428
"Solyc08g078670",12,14,50
"Solyc08g080580",334,393,351
"Solyc08g081220",1285,1200,9869
"Solyc09g007290",369,466,956
"Solyc09g007900",80,47,162
"Solyc09g009510",167,160,307
"Solyc09g010640",238,347,749
"Solyc09g011580",3,0,20
"Solyc09g011810",2,0,10
"Solyc09g014160",147,72,108
"Solyc09g014520",19,29,117
"Solyc09g064280",331,296,571
"Solyc09g064500",9,10,24
"Solyc09g065910",6,11,18
"Solyc09g066460",630,770,1177
"Solyc09g066480",1103,1630,2511
"Solyc09g072670",595,699,1287
"Solyc09g074510",1338,2018,3310
"Solyc09g075140",1018,1037,3670
"Solyc09g075810",101,133,2752
"Solyc09g075850",731,682,1680
"Solyc09g090570",1,0,0
"Solyc09g091960",202,222,249
"Solyc10g006130",64,93,235
"Solyc10g006230",5,2,7
"Solyc10g007600",9,0,4
"Solyc10g007690",9,5,6
"Solyc10g054780",249,497,1684
"Solyc10g075160",0,4,0
"Solyc10g077120",35,50,54
"Solyc10g081980",17,16,740
"Solyc10g084440",29,27,88
"Solyc10g085740",656,621,2092
"Solyc10g085750",1958,1267,2658
"Solyc11g010850",75,110,115
"Solyc11g011850",151,244,478
"Solyc11g012620",200,226,260
"Solyc11g013310",1417,793,6974
"Solyc11g022590",0,0,10
"Solyc11g045270",70,122,185
"Solyc11g066040",311,358,563
"Solyc11g067260",43,48,93
"Solyc11g068950",2,0,0
"Solyc11g069430",75,130,10
"Solyc11g072030",359,395,1656
"Solyc11g072050",255,393,592
"Solyc12g005270",2605,4498,6332
"Solyc12g006460",18,0,74
"Solyc12g006620",337,559,602
"Solyc12g009600",5,0,1
"Solyc12g009680",408,294,1316
"Solyc12g009930",11,8,20
"Solyc12g011340",298,323,899
"Solyc12g013910",122,183,270
"Solyc12g014170",586,1168,889
"Solyc12g017460",298,661,152
"Solyc12g019550",1,0,2
"Solyc12g042920",362,537,1179
"Solyc12g042930",5,0,4
"Solyc12g042990",509,979,1384
"Solyc12g044280",4,9,13
"Solyc12g044330",322,645,810
"Solyc12g044630",29,8,2
"Solyc12g049520",52,75,69
"Solyc12g096090",36,65,46
"Solyc12g096670",10,11,3
"Solyc12g098450",167,106,91
"Solyc12g098600",0,0,0
"Solyc12g099500",3,0,23
