GO_term,locusName,fx
GO:0016762,Solyc02g080160,Molecular Function:xyloglucan:xyloglucosyl transferase activity
GO:0016762,Solyc03g031800,Molecular Function:xyloglucan:xyloglucosyl transferase activity
GO:0016762,Solyc06g083400,Molecular Function:xyloglucan:xyloglucosyl transferase activity
GO:0016763,Solyc05g008180,Molecular Function:pentosyltransferase activity
GO:0016765,Solyc10g085140,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc08g044350,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc06g076920,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc09g005460,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc03g025560,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc10g085150,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc08g005680,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc05g050980,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc08g005660,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc11g017030,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc07g062550,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc01g091190,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc11g017020,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc00g136560,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc07g061990,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016765,Solyc06g059990,"Molecular Function:transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0016772,Solyc01g080460,"Molecular Function:transferase activity, transferring phosphorus-containing groups"
GO:0016772,Solyc10g005370,"Molecular Function:transferase activity, transferring phosphorus-containing groups"
GO:0016772,Solyc01g091210,"Molecular Function:transferase activity, transferring phosphorus-containing groups"
GO:0016772,Solyc01g096160,"Molecular Function:transferase activity, transferring phosphorus-containing groups"
GO:0016773,Solyc04g077030,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc03g112950,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc03g083350,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc02g091830,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc11g042940,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc04g081400,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc04g077040,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc10g078170,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc02g083780,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc04g015350,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc07g006780,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc02g065070,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc02g083900,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc11g065220,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc03g121070,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc05g050590,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc01g109080,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc01g111870,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc03g082500,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc01g106840,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc01g106770,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc04g080730,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc10g007500,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc11g043120,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc07g062080,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc04g005270,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc11g042950,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc11g005910,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc06g066440,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc05g010810,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc12g008510,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc08g082480,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc01g095990,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc03g117490,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc00g104630,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc02g084870,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016773,Solyc07g056350,"Molecular Function:phosphotransferase activity, alcohol group as acceptor"
GO:0016779,Solyc11g018820,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc07g056140,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc10g006990,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc06g066470,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc12g011120,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc07g065590,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc05g008630,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc10g009490,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g098180,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g095730,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g079790,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc06g051780,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g009670,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc08g066200,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc05g006120,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc03g097830,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g109790,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc08g015670,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc07g019440,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc03g032180,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc11g018770,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc12g095890,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc02g082810,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc03g113790,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g090860,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc01g094000,Molecular Function:nucleotidyltransferase activity
GO:0016779,Solyc11g072090,Molecular Function:nucleotidyltransferase activity
GO:0016780,Solyc04g009580,"Molecular Function:phosphotransferase activity, for other substituted phosphate groups"
GO:0016780,Solyc10g005290,"Molecular Function:phosphotransferase activity, for other substituted phosphate groups"
GO:0016780,Solyc08g005990,"Molecular Function:phosphotransferase activity, for other substituted phosphate groups"
GO:0016780,Solyc04g049550,"Molecular Function:phosphotransferase activity, for other substituted phosphate groups"
GO:0016787,Solyc07g051960,Molecular Function:hydrolase activity
GO:0016787,Solyc00g024030,Molecular Function:hydrolase activity
GO:0016787,Solyc00g096060,Molecular Function:hydrolase activity
GO:0016787,Solyc02g014770,Molecular Function:hydrolase activity
GO:0016787,Solyc03g062830,Molecular Function:hydrolase activity
GO:0016787,Solyc03g117440,Molecular Function:hydrolase activity
GO:0016787,Solyc06g054240,Molecular Function:hydrolase activity
GO:0016787,Solyc05g055760,Molecular Function:hydrolase activity
GO:0016787,Solyc05g043190,Molecular Function:hydrolase activity
GO:0016787,Solyc08g042050,Molecular Function:hydrolase activity
GO:0016787,Solyc08g005800,Molecular Function:hydrolase activity
GO:0016787,Solyc05g007670,Molecular Function:hydrolase activity
GO:0016787,Solyc01g005390,Molecular Function:hydrolase activity
GO:0016787,Solyc06g008970,Molecular Function:hydrolase activity
GO:0016787,Solyc04g014500,Molecular Function:hydrolase activity
GO:0016787,Solyc01g073650,Molecular Function:hydrolase activity
GO:0016787,Solyc02g032580,Molecular Function:hydrolase activity
GO:0016787,Solyc01g100030,Molecular Function:hydrolase activity
GO:0016787,Solyc07g062270,Molecular Function:hydrolase activity
GO:0016787,Solyc02g086660,Molecular Function:hydrolase activity
GO:0016787,Solyc01g056850,Molecular Function:hydrolase activity
GO:0016787,Solyc05g048770,Molecular Function:hydrolase activity
GO:0016787,Solyc08g076970,Molecular Function:hydrolase activity
GO:0016787,Solyc10g085790,Molecular Function:hydrolase activity
GO:0016787,Solyc06g054560,Molecular Function:hydrolase activity
GO:0016787,Solyc02g062780,Molecular Function:hydrolase activity
GO:0016787,Solyc07g040750,Molecular Function:hydrolase activity
GO:0016787,Solyc09g074320,Molecular Function:hydrolase activity
GO:0016787,Solyc12g019440,Molecular Function:hydrolase activity
GO:0016787,Solyc12g088920,Molecular Function:hydrolase activity
GO:0016787,Solyc08g016010,Molecular Function:hydrolase activity
GO:0016787,Solyc04g016370,Molecular Function:hydrolase activity
GO:0016787,Solyc01g112280,Molecular Function:hydrolase activity
GO:0016787,Solyc09g092400,Molecular Function:hydrolase activity
GO:0016787,Solyc01g091410,Molecular Function:hydrolase activity
GO:0016787,Solyc04g079300,Molecular Function:hydrolase activity
GO:0016787,Solyc10g007410,Molecular Function:hydrolase activity
GO:0016787,Solyc05g055060,Molecular Function:hydrolase activity
GO:0016787,Solyc12g006100,Molecular Function:hydrolase activity
GO:0016787,Solyc12g096000,Molecular Function:hydrolase activity
GO:0016787,Solyc08g007240,Molecular Function:hydrolase activity
GO:0016787,Solyc07g005890,Molecular Function:hydrolase activity
GO:0016787,Solyc09g015930,Molecular Function:hydrolase activity
GO:0016787,Solyc02g032570,Molecular Function:hydrolase activity
GO:0016787,Solyc12g008690,Molecular Function:hydrolase activity
GO:0016787,Solyc07g008560,Molecular Function:hydrolase activity
GO:0016787,Solyc12g056340,Molecular Function:hydrolase activity
GO:0016787,Solyc05g014320,Molecular Function:hydrolase activity
GO:0016787,Solyc03g114790,Molecular Function:hydrolase activity
GO:0016787,Solyc07g045430,Molecular Function:hydrolase activity
GO:0016787,Solyc10g083850,Molecular Function:hydrolase activity
GO:0016787,Solyc12g044860,Molecular Function:hydrolase activity
GO:0016787,Solyc01g079650,Molecular Function:hydrolase activity
GO:0016787,Solyc07g008570,Molecular Function:hydrolase activity
GO:0016787,Solyc02g032560,Molecular Function:hydrolase activity
GO:0016787,Solyc08g080550,Molecular Function:hydrolase activity
GO:0016787,Solyc07g042270,Molecular Function:hydrolase activity
GO:0016787,Solyc08g076990,Molecular Function:hydrolase activity
GO:0016787,Solyc11g062010,Molecular Function:hydrolase activity
GO:0016787,Solyc09g083410,Molecular Function:hydrolase activity
GO:0016787,Solyc05g016690,Molecular Function:hydrolase activity
GO:0016787,Solyc05g008000,Molecular Function:hydrolase activity
GO:0016787,Solyc01g099860,Molecular Function:hydrolase activity
GO:0016787,Solyc12g055740,Molecular Function:hydrolase activity
GO:0016787,Solyc09g010560,Molecular Function:hydrolase activity
GO:0016787,Solyc12g098550,Molecular Function:hydrolase activity
GO:0016787,Solyc01g034020,Molecular Function:hydrolase activity
GO:0016787,Solyc02g068560,Molecular Function:hydrolase activity
GO:0016787,Solyc03g093440,Molecular Function:hydrolase activity
GO:0016787,Solyc01g057760,Molecular Function:hydrolase activity
GO:0016787,Solyc02g032550,Molecular Function:hydrolase activity
GO:0016787,Solyc05g014970,Molecular Function:hydrolase activity
GO:0016787,Solyc03g063220,Molecular Function:hydrolase activity
GO:0016787,Solyc08g081150,Molecular Function:hydrolase activity
GO:0016787,Solyc10g006300,Molecular Function:hydrolase activity
GO:0016787,Solyc06g076430,Molecular Function:hydrolase activity
GO:0016787,Solyc06g075080,Molecular Function:hydrolase activity
GO:0016787,Solyc06g082280,Molecular Function:hydrolase activity
GO:0016787,Solyc02g032520,Molecular Function:hydrolase activity
GO:0016787,Solyc08g005790,Molecular Function:hydrolase activity
GO:0016787,Solyc08g081340,Molecular Function:hydrolase activity
GO:0016787,Solyc07g007670,Molecular Function:hydrolase activity
GO:0016787,Solyc03g115630,Molecular Function:hydrolase activity
GO:0016787,Solyc01g094800,Molecular Function:hydrolase activity
GO:0016787,Solyc12g098540,Molecular Function:hydrolase activity
GO:0016787,Solyc01g011340,Molecular Function:hydrolase activity
GO:0016787,Solyc06g073960,Molecular Function:hydrolase activity
GO:0016787,Solyc08g014290,Molecular Function:hydrolase activity
GO:0016787,Solyc07g062280,Molecular Function:hydrolase activity
GO:0016787,Solyc08g062800,Molecular Function:hydrolase activity
GO:0016787,Solyc04g080250,Molecular Function:hydrolase activity
GO:0016787,Solyc03g078260,Molecular Function:hydrolase activity
GO:0016787,Solyc08g074950,Molecular Function:hydrolase activity
GO:0016787,Solyc08g075020,Molecular Function:hydrolase activity
GO:0016787,Solyc01g005490,Molecular Function:hydrolase activity
GO:0016787,Solyc11g012970,Molecular Function:hydrolase activity
GO:0016787,Solyc09g090060,Molecular Function:hydrolase activity
GO:0016787,Solyc06g035520,Molecular Function:hydrolase activity
GO:0016787,Solyc06g066060,Molecular Function:hydrolase activity
GO:0016787,Solyc04g005450,Molecular Function:hydrolase activity
GO:0016787,Solyc08g014470,Molecular Function:hydrolase activity
GO:0016787,Solyc07g008550,Molecular Function:hydrolase activity
GO:0016787,Solyc01g102350,Molecular Function:hydrolase activity
GO:0016787,Solyc01g056430,Molecular Function:hydrolase activity
GO:0016787,Solyc12g005320,Molecular Function:hydrolase activity
GO:0016787,Solyc10g083830,Molecular Function:hydrolase activity
GO:0016787,Solyc07g052020,Molecular Function:hydrolase activity
GO:0016787,Solyc10g005520,Molecular Function:hydrolase activity
GO:0016787,Solyc01g095740,Molecular Function:hydrolase activity
GO:0016787,Solyc11g020750,Molecular Function:hydrolase activity
GO:0016787,Solyc06g065730,Molecular Function:hydrolase activity
GO:0016787,Solyc12g099910,Molecular Function:hydrolase activity
GO:0016787,Solyc08g076980,Molecular Function:hydrolase activity
GO:0016787,Solyc07g051970,Molecular Function:hydrolase activity
GO:0016787,Solyc06g073060,Molecular Function:hydrolase activity
GO:0016787,Solyc03g112080,Molecular Function:hydrolase activity
GO:0016787,Solyc01g079690,Molecular Function:hydrolase activity
GO:0016787,Solyc06g054290,Molecular Function:hydrolase activity
GO:0016787,Solyc06g062750,Molecular Function:hydrolase activity
GO:0016787,Solyc02g062970,Molecular Function:hydrolase activity
GO:0016787,Solyc02g081980,Molecular Function:hydrolase activity
GO:0016787,Solyc01g079800,Molecular Function:hydrolase activity
GO:0016787,Solyc09g075990,Molecular Function:hydrolase activity
GO:0016787,Solyc01g005950,Molecular Function:hydrolase activity
GO:0016787,Solyc06g069400,Molecular Function:hydrolase activity
GO:0016787,Solyc01g009280,Molecular Function:hydrolase activity
GO:0016787,Solyc11g066290,Molecular Function:hydrolase activity
GO:0016787,Solyc02g085640,Molecular Function:hydrolase activity
GO:0016787,Solyc01g009970,Molecular Function:hydrolase activity
GO:0016787,Solyc04g051650,Molecular Function:hydrolase activity
GO:0016787,Solyc09g007440,Molecular Function:hydrolase activity
GO:0016787,Solyc05g056110,Molecular Function:hydrolase activity
GO:0016787,Solyc11g071920,Molecular Function:hydrolase activity
GO:0016787,Solyc03g019810,Molecular Function:hydrolase activity
GO:0016787,Solyc09g009170,Molecular Function:hydrolase activity
GO:0016787,Solyc04g050150,Molecular Function:hydrolase activity
GO:0016787,Solyc03g121730,Molecular Function:hydrolase activity
GO:0016787,Solyc11g064920,Molecular Function:hydrolase activity
GO:0016787,Solyc02g085390,Molecular Function:hydrolase activity
GO:0016787,Solyc03g118470,Molecular Function:hydrolase activity
GO:0016787,Solyc09g091420,Molecular Function:hydrolase activity
GO:0016787,Solyc12g009800,Molecular Function:hydrolase activity
GO:0016787,Solyc08g079820,Molecular Function:hydrolase activity
GO:0016787,Solyc01g080230,Molecular Function:hydrolase activity
GO:0016787,Solyc12g040870,Molecular Function:hydrolase activity
GO:0016787,Solyc01g110060,Molecular Function:hydrolase activity
GO:0016787,Solyc06g005800,Molecular Function:hydrolase activity
GO:0016787,Solyc06g072140,Molecular Function:hydrolase activity
GO:0016787,Solyc06g011290,Molecular Function:hydrolase activity
GO:0016787,Solyc04g008260,Molecular Function:hydrolase activity
GO:0016787,Solyc07g005120,Molecular Function:hydrolase activity
GO:0016787,Solyc11g012070,Molecular Function:hydrolase activity
GO:0016787,Solyc03g121270,Molecular Function:hydrolase activity
GO:0016787,Solyc10g079640,Molecular Function:hydrolase activity
GO:0016787,Solyc05g010050,Molecular Function:hydrolase activity
GO:0016787,Solyc02g068380,Molecular Function:hydrolase activity
GO:0016787,Solyc09g009600,Molecular Function:hydrolase activity
GO:0016787,Solyc07g017640,Molecular Function:hydrolase activity
GO:0016787,Solyc08g083250,Molecular Function:hydrolase activity
GO:0016787,Solyc03g098010,Molecular Function:hydrolase activity
GO:0016787,Solyc04g078460,Molecular Function:hydrolase activity
GO:0016787,Solyc10g050840,Molecular Function:hydrolase activity
GO:0016787,Solyc02g069800,Molecular Function:hydrolase activity
GO:0016787,Solyc08g078210,Molecular Function:hydrolase activity
GO:0016787,Solyc04g024640,Molecular Function:hydrolase activity
GO:0016787,Solyc11g008570,Molecular Function:hydrolase activity
