"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g008570",407,48,62,427,215,954
"Solyc00g008580",0,906,458,127,2,133
"Solyc00g008680",444,1477,763,1607,741,2678
"Solyc00g008690",0,0,0,1,0,6
"Solyc00g008800",0,0,0,0,0,0
"Solyc00g008900",0,0,0,0,0,0
"Solyc00g008910",0,0,1,0,0,0
"Solyc00g008920",0,0,0,0,0,0
"Solyc00g009020",3037,4197,4774,6033,4401,9278
"Solyc00g009030",2,1,1,4,4,2
"Solyc00g009040",3150,1085,4929,1267,2911,1233
"Solyc00g009050",105,129,176,181,97,94
"Solyc00g009060",325,379,376,304,523,468
"Solyc00g009070",0,0,2,0,0,0
"Solyc00g009080",162,198,152,109,263,288
"Solyc00g009090",48,48,37,52,45,90
"Solyc00g009100",84,198,119,200,122,289
"Solyc00g009110",122,275,172,361,223,700
"Solyc00g009120",1,4,2,0,7,0
"Solyc00g009130",15,8,14,12,42,13
"Solyc00g009140",46,25,30,16,64,29
"Solyc00g009240",0,0,0,0,0,0
"Solyc00g009440",1,0,0,0,0,0
"Solyc00g009540",3,0,0,0,2,0
"Solyc00g009650",2,4,25,157,7,78
"Solyc00g009660",0,0,0,0,0,0
"Solyc00g009760",232,8383,5562,5473,1259,10812
"Solyc00g009770",0,0,0,1,0,0
"Solyc00g009780",0,3,22,94,2,45
"Solyc00g009790",0,0,0,0,0,0
"Solyc00g009800",4,25,28,655,5,453
"Solyc00g010100",10,4,8,8,17,7
"Solyc00g010110",0,0,0,0,0,0
"Solyc00g010210",0,0,0,0,0,0
"Solyc00g010410",0,2,4,33,0,17
"Solyc00g010420",0,0,0,0,0,0
"Solyc00g010520",0,0,0,0,0,0
"Solyc00g010530",0,171,111,33,1,45
"Solyc00g010540",1,3,2,9,1,3
"Solyc00g010550",0,2,0,5,1,19
"Solyc00g010750",3,3,2,2,3,5
"Solyc00g010760",0,0,0,0,3,0
"Solyc00g010770",0,1,0,0,0,13
"Solyc00g010780",0,0,0,0,0,0
"Solyc00g010790",0,0,0,0,0,0
"Solyc00g010810",0,0,0,0,0,0
"Solyc00g010930",0,0,2,0,1,0
"Solyc00g011130",0,0,0,0,0,0
"Solyc00g011140",0,0,0,0,0,0
"Solyc00g011150",2,3226,2254,663,11,919
"Solyc00g011160",2,0,2,9,3,5
"Solyc00g011170",0,564,36,15,1,17
"Solyc00g011180",0,0,0,0,0,0
"Solyc00g011310",0,0,0,0,0,0
