"gene","A1","A10","A13","A22","A25","A34"
"Solyc06g062530",728,592,1638,1300,732,618
"Solyc06g063370",107,7,221,79,33,10
"Solyc06g065100",563,249,840,1350,567,438
"Solyc06g065710",4020,3967,8837,7408,4283,4780
"Solyc06g069500",1148,1733,2777,2984,1672,1586
"Solyc06g069730",1,5,6,8,2,1
"Solyc06g071490",1860,1711,4389,2445,2067,1432
"Solyc06g071500",67,81,79,114,65,47
"Solyc06g072840",49,11,17,17,10,4
"Solyc06g073670",861,782,1966,1593,1272,685
"Solyc06g073970",194,180,548,303,180,97
"Solyc06g074200",25,4,6,14,7,6
"Solyc06g074820",55,14,92,72,30,24
"Solyc06g076480",47,34,53,48,38,24
"Solyc06g082950",55,3,125,59,25,4
"Solyc06g083390",19,11,18,49,15,28
"Solyc06g083580",63,41,147,105,50,28
"Solyc06g083680",23,9,10,43,8,8
"Solyc07g005760",163,0,306,23,63,2
"Solyc07g006380",550,156,34,62,91,183
"Solyc07g006560",91,4,6,14,8,0
"Solyc07g006970",1025,1282,1233,3126,881,1867
"Solyc07g021750",208,171,376,785,215,208
"Solyc07g042550",108,102,222,240,125,131
"Solyc07g043390",337,19,143,111,69,22
"Solyc07g043460",177,169,175,269,235,175
"Solyc07g043480",49,7,55,45,16,6
"Solyc07g043500",24,10,24,20,24,13
"Solyc07g047850",83,37,73,129,30,32
"Solyc07g053050",20,5,7,3,8,11
"Solyc07g055920",8,14,22,8,17,15
"Solyc07g061780",1625,1065,3630,2118,1845,818
"Solyc07g061790",43,16,52,38,36,10
"Solyc07g062500",543,360,648,504,521,274
"Solyc07g062520",49,25,40,32,43,39
"Solyc07g063420",276,381,270,739,334,517
"Solyc07g064940",62,73,77,112,53,86
"Solyc07g065090",135,30,19,26,42,37
"Solyc07g065110",116,22,15,37,41,7
"Solyc07g065500",2,3,16,1,5,2
"Solyc07g065660",49,484,112,1062,75,252
"Solyc08g006820",2929,2608,5306,4505,3153,2716
"Solyc08g007770",54,42,89,52,51,33
"Solyc08g008610",554,307,526,1165,261,316
"Solyc08g016080",288,136,584,307,247,142
"Solyc08g016160",42,25,67,70,64,11
"Solyc08g060810",1501,1515,3108,2882,1743,1838
"Solyc08g062490",0,1,3,0,0,1
"Solyc08g065940",20,15,44,34,33,30
"Solyc08g067030",65,111,140,180,78,381
"Solyc08g067320",4,2,4,8,2,3
"Solyc08g074480",17,2,1,1,2,7
"Solyc08g075080",1187,585,2417,1241,834,391
"Solyc08g076160",138,101,496,178,124,68
"Solyc08g076220",8,2,7,13,8,0
"Solyc08g076350",408,744,534,1153,511,983
"Solyc08g076690",204,411,431,516,201,503
"Solyc08g078670",6,2,11,19,3,5
"Solyc08g080580",413,359,1076,822,554,311
"Solyc08g081220",513,182,831,1279,304,262
"Solyc09g007290",638,523,1032,964,546,616
"Solyc09g007900",222,138,479,286,220,126
"Solyc09g009510",116,142,219,236,144,276
"Solyc09g010640",138,114,365,303,218,175
"Solyc09g011580",6,0,0,3,0,0
"Solyc09g011810",4,1,3,4,3,2
"Solyc09g014160",1084,371,2495,851,807,398
"Solyc09g014520",91,22,188,104,66,28
"Solyc09g064280",395,259,747,461,293,259
"Solyc09g064500",23,15,32,6,27,18
"Solyc09g065910",12,11,19,18,6,22
"Solyc09g066460",838,725,1356,1019,843,680
"Solyc09g066480",1081,1011,2464,1417,1458,1054
