"gene","A1","A3","A5","A9","A10","A11","A13","A15","A17","A21","A22","A23","A25","A27","A29","A33","A34","A35"
"Solyc01g006400",3.03015533702034,0.177274586593205,0.366243898609536,0.912174817225268,0.19253174050486,1.30340508419727,0.458938144296714,0.406073984422301,0.654052483608679,0.380871240585986,0.270264457284121,2.83872682178018,0.550032860221256,0.269008021593817,0.576278425361233,0.391653456531168,0.32560941577577,0.63808167617695
"Solyc01g006880",24.5007899520224,32.743765589174,36.7253436982315,42.801113848643,36.8725653139271,62.422879403019,33.9657050031391,42.4873595635503,49.5854832852147,57.3687594878275,36.939289148447,58.0094048036066,41.2056979248895,72.7157664100137,27.0309278304282,49.2046425189506,26.6973749260101,69.9646568662109
"Solyc01g007070",2.34004482606526,2.498438331527,3.80421171967162,2.74759091278991,1.9371730491204,6.60975321040223,4.37397726904431,2.73985246832964,6.21304924524791,2.65675342465459,6.10339925931885,13.7283634753351,4.44363570196917,3.37762012892555,2.40064124077522,1.22938397013711,1.61398290627632,10.2497501159114
"Solyc01g007350",74.9575181669836,216.864554239089,93.4463832936954,227.326995521354,156.003863413033,84.4488137532498,21.2515540819525,99.1111956040458,15.523735478304,94.9185541717504,44.301136227383,54.6693760598026,87.0324103996355,93.4160419049139,71.1946609969168,158.470829193953,73.8476248232674,58.4489733355443
"Solyc01g007570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g010000",11.5185322818295,20.507174557091,10.6926738502751,5.69775575907085,17.6762908393252,9.11088034570711,12.7148546749863,16.7207755027895,5.58450069663557,5.17022319940855,13.4222346303261,3.5235516440829,10.1123004019399,9.94958806958614,7.78357750226597,3.23618451115985,9.26717684386329,17.7943185733858
"Solyc01g015000",2.5378181340891,10.3566878515649,2.1894197172485,3.89501082668987,3.05179302852427,3.43440410744021,6.4920887810351,8.49633910724333,3.90995019757282,4.58329467184465,3.80963168767215,5.68373710184762,3.21338706855196,6.36990523228643,0.782957720438217,4.75105317450088,2.4331315747777,5.2557412362148
"Solyc01g016410",3.42340276971197,5.50917672086879,1.75104482665114,3.27089202188999,2.37798795492351,2.54933028427409,4.00123255337148,3.10636164527448,2.42348963941868,5.00769350546405,3.10925647665086,5.3574500358041,3.15570754254793,3.90438819184507,1.48359005798586,4.11287882126905,2.72434352911669,3.71807176083735
"Solyc01g057760",25.9500237814149,32.8544067721631,33.4208494876439,31.6623968978937,30.5766647405554,38.0573043257581,43.6364502758244,41.105113311464,42.4915610566731,45.6832297897247,35.4434923268282,51.1698329195211,36.8117977340138,51.0738372647496,20.9157702951845,28.9712558154554,26.9818037874413,37.7596395625559
"Solyc01g065490",17.4516939737997,10.2222534680485,8.91091326533244,13.950331663793,13.0538668254658,6.4193898531223,17.7345762602278,9.64288089602385,17.8867208201479,14.2973554400963,16.5378383475084,4.5439320823199,19.0032901117363,10.3225758320808,9.4912518772401,14.8926870627809,11.2496009576789,12.2646506615292
"Solyc01g066940",3.38909786411072,4.50208710821327,2.01670334178022,4.0207495806498,3.0464546150633,2.06239471145772,1.84536107807105,4.70336435540755,2.17332296696255,3.82257034487593,2.05268613107874,1.24114259162795,2.87206954318797,2.80932213897935,1.68342055559212,5.86961786344084,1.64869115884504,2.53673276986654
"Solyc01g067040",4.92019334553877,4.89794146136437,5.74633250707593,4.17866789732343,3.67494525204583,3.324701022029,5.02410128567644,5.67367930612925,6.62911658312803,3.27144204432424,3.96572504821478,4.06381006121412,6.20475522590606,6.00758091355527,3.47759791657124,2.91551384012542,3.35613368284095,2.30646811696126
