"gene","A5","A9","A17","A21","A29","A33"
"Solyc06g063370",22,25,39,73,31,18
"Solyc06g065100",196,728,379,648,412,3868
"Solyc06g065710",3391,2866,3538,4533,3963,6533
"Solyc06g069500",1480,1171,1690,1722,1543,2885
"Solyc06g069730",1,1,0,3,2,0
"Solyc06g071490",1243,828,1514,1150,1218,1680
"Solyc06g071500",58,34,58,53,51,53
"Solyc06g072840",5,1,0,0,5,0
"Solyc06g073670",667,871,885,1183,779,1989
"Solyc06g073970",103,163,85,216,93,279
"Solyc06g074200",3,3,4,2,13,14
"Solyc06g074820",35,52,85,119,50,231
"Solyc06g076480",13,79,10,73,23,177
"Solyc06g082950",8,13,7,6,11,8
"Solyc06g083390",14,23,13,51,16,219
"Solyc06g083580",119,15,128,6,130,31
"Solyc06g083680",10,10,9,21,14,32
"Solyc07g005760",67,9,130,7,144,1
"Solyc07g006380",11,205,6,99,42,171
"Solyc07g006560",5,10,0,0,15,0
"Solyc07g006970",528,867,656,864,923,4057
"Solyc07g021750",208,178,278,190,330,1687
"Solyc07g042550",66,695,253,843,181,5885
"Solyc07g043390",42,49,18,7,48,85
"Solyc07g043460",202,128,79,18,136,162
"Solyc07g043480",7,23,7,6,8,238
"Solyc07g043500",5,27,7,1,11,34
"Solyc07g047850",27,29,27,31,46,48
"Solyc07g053050",5,7,1,0,11,35
"Solyc07g055920",22,9,26,4,40,41
"Solyc07g061780",513,1006,600,1291,491,1238
"Solyc07g061790",18,37,18,18,42,46
"Solyc07g062500",154,161,369,47,495,332
"Solyc07g062520",36,17,37,12,60,42
"Solyc07g063420",169,680,151,536,382,2393
"Solyc07g064940",26,114,25,120,67,311
"Solyc07g065090",21,17,9,7,29,59
"Solyc07g065110",23,29,20,18,16,2
"Solyc07g065500",11,15,4,27,6,22
"Solyc07g065660",26,143,58,191,55,179
"Solyc08g006820",1510,1654,1978,1606,1972,3971
"Solyc08g007770",40,19,48,13,50,106
"Solyc08g008610",244,281,239,171,423,4615
"Solyc08g016080",135,225,205,363,156,544
"Solyc08g016160",35,17,50,4,45,12
"Solyc08g060810",416,1743,798,2547,1002,5220
"Solyc08g062490",0,0,0,0,0,0
"Solyc08g065940",78,99,95,270,89,313
"Solyc08g067030",35,808,42,1435,43,865
"Solyc08g067320",4,2,4,0,5,1
"Solyc08g074480",4,5,0,0,4,3
"Solyc08g075080",285,815,309,1029,377,1012
"Solyc08g076160",33,119,70,192,29,202
"Solyc08g076220",4,5,4,0,8,17
"Solyc08g076350",180,601,269,743,385,1293
"Solyc08g076690",150,227,184,309,190,428
"Solyc08g078670",7,12,13,14,1,50
"Solyc08g080580",251,334,294,393,272,351
"Solyc08g081220",184,1285,394,1200,336,9869
"Solyc09g007290",282,369,389,466,493,956
"Solyc09g007900",121,80,135,47,132,162
"Solyc09g009510",57,167,109,160,116,307
