GO_term,locusName,fx
GO:0000160,Solyc07g056580,Biological Process:phosphorelay signal transduction system
GO:0000160,Solyc04g008050,Biological Process:phosphorelay signal transduction system
GO:0000162,Solyc12g096190,Biological Process:tryptophan biosynthetic process
GO:0000184,Solyc08g007110,"Biological Process:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000184,Solyc08g077420,"Biological Process:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000184,Solyc06g074810,"Biological Process:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000226,Solyc04g008290,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc04g079390,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc04g009330,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc12g014490,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc07g064970,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc01g091380,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc08g005940,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc09g075190,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc11g071570,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc03g007130,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc01g096680,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc05g015320,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc11g072280,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc09g009140,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc01g007180,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc02g081460,Biological Process:microtubule cytoskeleton organization
GO:0000226,Solyc01g005080,Biological Process:microtubule cytoskeleton organization
GO:0000244,Solyc08g078430,Biological Process:spliceosomal tri-snRNP complex assembly
GO:0000244,Solyc07g064070,Biological Process:spliceosomal tri-snRNP complex assembly
GO:0000244,Solyc01g094300,Biological Process:spliceosomal tri-snRNP complex assembly
GO:0000244,Solyc01g094310,Biological Process:spliceosomal tri-snRNP complex assembly
GO:0000266,Solyc12g099770,Biological Process:mitochondrial fission
GO:0000266,Solyc10g079550,Biological Process:mitochondrial fission
GO:0000266,Solyc11g065100,Biological Process:mitochondrial fission
GO:0000272,Solyc09g091030,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc01g094580,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc01g067660,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc07g052690,Biological Process:polysaccharide catabolic process
